type,gender,vage,age,ageg,region,ee,num,cost
B,M,1,32,4,SZ,77.858,99,186970.95
B,M,1,32,4,TJ,18.362,13,14519.7
B,M,1,32,4,CQ,88.413,73,112380.3
B,M,1,33,4,BJ,1061.199,892,2091028.14
B,M,1,33,4,SH,172.715,136,242665.1
B,M,1,33,4,SZ,71.794,72,104184.1
B,M,1,33,4,TJ,21.307,18,15198.8
B,M,1,33,4,CQ,68.631,47,96197.46
B,M,1,34,4,BJ,954.962,744,1850194.92
B,M,1,34,4,SH,139.074,105,348517.73
B,M,1,34,4,SZ,73.811,86,168381.2
B,M,1,34,4,TJ,30.208,20,28546.3
B,M,1,34,4,CQ,102.214,65,95811.8
B,M,1,35,4,BJ,943.252,734,2143231.54
B,M,1,35,4,SH,138.719,98,130694.53
B,M,1,35,4,SZ,59.733,66,166724.6
B,M,1,35,4,TJ,11.079,10,8093.2
B,M,1,35,4,CQ,124.41,97,127734
B,M,1,36,4,BJ,1027.822,823,1996007.3
B,M,1,36,4,SH,158.215,105,169655.9
B,M,1,36,4,SZ,56.147,36,42518.55
B,M,1,36,4,TJ,35.408,16,217185.15
B,M,1,36,4,CQ,132.918,90,141031.3
B,M,1,37,4,BJ,1035.85,742,1731034.55
B,M,1,37,4,SH,124.107,82,199100.83
B,M,1,37,4,SZ,55.049,62,91207.65
B,M,1,37,4,TJ,29.023,15,15726.5
B,M,1,37,4,CQ,138.438,98,231273.6
B,M,1,38,4,BJ,1023.106,742,2305691.64
B,M,1,38,4,SH,136.031,80,159312.65
B,M,1,38,4,SZ,63.753,64,89818.1
B,M,1,38,4,TJ,29.523,17,100912.85
B,M,1,38,4,CQ,113.032,95,251079.82
B,M,1,39,4,BJ,928.484,716,2004324.44
B,M,1,39,4,SH,129.762,79,446361.9
B,M,1,39,4,SZ,57.592,47,68186.5
B,M,1,39,4,TJ,34.711,13,20955.05
B,M,1,39,4,CQ,120.783,73,157403.59
B,M,1,40,4,BJ,903.841,684,1689999.44
B,M,1,40,4,SH,119.454,87,157238.46
B,M,1,40,4,SZ,60.53,44,164332.65
B,M,1,40,4,TJ,21.609,11,58048.65
B,M,1,40,4,CQ,112.031,78,107003.08
B,M,1,41,5,BJ,805.306,608,1689604.43
B,M,1,41,5,SH,109.458,68,106730.42
B,M,1,41,5,SZ,48.003,42,188942.55
B,M,1,41,5,TJ,24.494,14,8632.8
B,M,1,41,5,CQ,101.119,66,90715.22
B,M,1,42,5,BJ,753.119,555,1696124.18
B,M,1,42,5,SH,98.472,83,167493.57
B,M,1,42,5,SZ,60.974,69,214333.06
B,M,1,42,5,TJ,20.514,11,14256.42
B,M,1,42,5,CQ,78.892,54,156641.05
B,M,1,43,5,BJ,618.978,445,1408525.29
B,M,1,43,5,SH,80.442,74,131914.75
B,M,1,43,5,SZ,33.899,15,21963.15
B,M,1,43,5,TJ,25.882,11,15515.9
B,M,1,43,5,CQ,68.193,39,92982.75
B,M,1,44,5,BJ,573.444,460,1571233.51
B,M,1,44,5,SH,80.709,45,54617.13
B,M,1,44,5,SZ,41.172,34,85526.04
B,M,1,44,5,TJ,17.592,15,59133.65
B,M,1,44,5,CQ,65.544,36,93319.95
B,M,1,45,5,BJ,620.937,514,1226567.02
B,M,1,45,5,SH,84.718,65,421590.05
B,M,1,45,5,SZ,40.114,43,137248.55
B,M,1,45,5,TJ,15.677,9,14742.55
B,M,1,45,5,CQ,77.325,53,93246.65
B,M,1,46,5,BJ,689.197,551,2089149.72
B,M,1,46,5,SH,107.237,58,116355
B,M,1,46,5,SZ,34.187,29,282124.95
B,M,1,46,5,TJ,23.799,15,29181.25
B,M,1,46,5,CQ,81.201,67,110731.3
B,M,1,47,5,BJ,731.144,519,1593549.74
B,M,1,47,5,SH,84.282,61,340761.3
B,M,1,47,5,SZ,28.379,20,23623.8
B,M,1,47,5,TJ,23.252,8,18956.7
B,M,1,47,5,CQ,67.685,48,58385.05
B,M,1,48,5,BJ,551.024,328,930791.27
B,M,1,48,5,SH,91.08,38,47984.9
B,M,1,48,5,SZ,18.59,16,21846.46
B,M,1,48,5,TJ,21.075,10,31845.25
B,M,1,48,5,CQ,50.254,36,69787.35
B,M,1,49,5,BJ,392.856,298,1171576.85
B,M,1,49,5,SH,57.165,40,81810.43
B,M,1,49,5,SZ,5.892,1,1462
B,M,1,49,5,TJ,16.215,15,19287.35
B,M,1,49,5,CQ,25.668,20,50630.31
B,M,1,50,5,BJ,346.07,252,440750.62
B,M,1,50,5,SH,49.346,30,38311
B,M,1,50,5,SZ,13.262,7,73166.35
B,M,1,50,5,TJ,16.452,7,3485
B,M,1,50,5,CQ,30.275,19,31133.8
B,M,1,51,6,BJ,348.746,214,353427.44
B,M,1,51,6,SH,53.132,25,49063
B,M,1,51,6,SZ,11.49,6,14809.65
B,M,1,51,6,TJ,11.436,8,13602.55
B,M,1,51,6,CQ,31.02,23,48539.4
B,M,1,52,6,BJ,360.844,226,406970.5
B,M,1,52,6,SH,45.985,20,26104.1
B,M,1,52,6,SZ,8.729,14,22156.95
B,M,1,52,6,TJ,19.129,13,16774.25
B,M,1,52,6,CQ,30.958,22,46730.88
B,M,1,53,6,BJ,325.031,226,424873.64
B,M,1,53,6,SH,46.135,27,23052
B,M,1,53,6,SZ,12.407,8,7325.41
B,M,1,53,6,TJ,13.791,4,5780
B,M,1,53,6,CQ,21.562,15,21738.75
B,M,1,54,6,BJ,378.053,288,571721.01
B,M,1,54,6,SH,47.878,35,74831
B,M,1,54,6,SZ,12.903,6,9483.45
B,M,1,54,6,TJ,11.34,8,13703.85
B,M,1,54,6,CQ,31.294,24,151442.8
B,M,1,55,6,BJ,317.631,203,288142.15
B,M,1,55,6,SH,36.974,20,22372
B,M,1,55,6,SZ,9.124,9,20266.9
B,M,1,55,6,TJ,13.257,7,6614.5
B,M,1,55,6,CQ,24.042,11,10012
B,M,1,56,6,BJ,286.625,187,455393
B,M,1,56,6,SH,32.658,19,28466.55
